Date,Added,Added_1,Removed,Removed_2,Reason
6/4/2021,OGN,Organon & Co.,HFC,HollyFrontier,Market capitalization change.[43]
5/14/2021,CRL,Charles River Laboratories,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[44]
4/20/2021,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.[45]
3/22/2021,NXPI,NXP,FLS,Flowserve,Market capitalization change.[46]
3/22/2021,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization change.[46]
3/22/2021,GNRC,Generac Holdings,XRX,Xerox,Market capitalization change.[46]
3/22/2021,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization change.[46]
2/12/2021,MPWR,Monolithic Power Systems,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[47]
1/21/2021,TRMB,Trimble,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[48]
1/7/2021,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[49]
12/21/2020,TSLA,Tesla,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[50]
10/12/2020,VNT,Vontier,NBL,Noble Energy,Chevron acquired Noble Energy.[51]
10/7/2020,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.[52]
9/21/2020,ETSY,Etsy,HRB,H&R Block,Market capitalization change.[53]
9/21/2020,TER,Teradyne,COTY,Coty,Market capitalization change.[53]
9/21/2020,CTLT,Catalent,KSS,Kohl's,Market capitalization change.[53]
6/22/2020,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[54]
6/22/2020,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization change.[54]
6/22/2020,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[54]
5/22/2020,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[55]
5/12/2020,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[56]
5/12/2020,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[56]
4/6/2020,OTIS,Otis Worldwide,M,Macy's,Market capitalization change.[57]
4/6/2020,CARR,Carrier,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[57]
4/1/2020,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.[58]
3/2/2020,IR,Ingersoll Rand,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[59][60]"
1/28/2020,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[61]
12/23/2019,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[62]
12/23/2019,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[62]
12/23/2019,STE,Steris,MAC,Macerich,Market capitalization change.[62]
12/9/2019,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[63]
12/5/2019,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[64]
11/21/2019,NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[65]
10/3/2019,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market capitalization change.[66]
9/26/2019,NVR,NVR,JEF,Jefferies Financial Group,JEF spun off SPB.[67]
9/23/2019,CDW,CDW Corporation,TSS,TSYS,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[68]
8/9/2019,LDOS,Leidos,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[69]
8/9/2019,IEX,IDEX Corporation,FL,Foot Locker,Market capitalization change.[69]
7/15/2019,TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[70]
7/1/2019,MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[71]
6/11/2019,AMCR,Amcor,BMS,Bemis,BMS changed to AMCR post merger with Amcor;[72] subsequently renamed to Amcor[73]
6/7/2019,BMS,Bemis,MAT,Mattel,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[74]
6/3/2019,DD,DuPont,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.[75]
6/3/2019,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[75]
4/2/2019,DOW,Dow,BHF,Brighthouse Financial,DOW spun off from DWDP[76]
3/19/2019,FOXA,Fox Corporation,FOXA,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[77]
3/19/2019,FOX,Fox Corporation,FOX,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[77]
2/27/2019,WAB,Wabtec,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[78]
2/15/2019,ATO,Atmos Energy,NFX,Newfield Exploration,ECA acquired NFX[79]
1/18/2019,TFX,Teleflex,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy[80]
1/2/2019,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[81]
12/24/2018,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[82]
12/3/2018,LW,Lamb Weston,COL,Rockwell Collins,UTX acquired COL[83]
12/3/2018,MXIM,Maxim Integrated,AET,Aetna,CVS acquired Aetna[83]
12/3/2018,FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[83]
11/13/2018,JKHY,Jack Henry & Associates,EQT,EQT Corporation,EQT spun off ETRN[84]
11/6/2018,KEYS,Keysight,CA,CA Technologies,CA acquired by Broadcom.[85]
10/11/2018,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by KKR.[86]
10/1/2018,ROL,Rollins,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[87]
9/14/2018,WCG,WellCare,XL,XL Group,XL acquired by AXA.[88]
8/28/2018,ANET,Arista Networks,GGP,GGP,GGP acquired by Brookfield Property Partners.[89]
7/2/2018,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[90]
6/20/2018,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[91]
6/18/2018,BR,Broadridge Financial Solutions,RRC,Range Resources,Market capitalization change.[92]
6/18/2018,HFC,HollyFrontier,AYI,Acuity Brands,Market capitalization change.[92]
6/7/2018,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[93]
6/5/2018,EVRG,Evergy,NAVI,Navient,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[94]
5/31/2018,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[95]
4/4/2018,MSCI,MSCI,CSRA,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[96]
3/19/2018,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization change.[97]
3/19/2018,SIVB,SVB Financial Group,PDCO,Patterson Companies,Market capitalization change.[97]
3/19/2018,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization change.[97]
3/7/2018,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[98]
1/3/2018,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[99]
10/13/2017,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink acquired LVLT.[100]
9/18/2017,CDNS,Cadence Design Systems,SPLS,Staples,Sycamore Partners acquired Staples.[101]
9/1/2017,DWDP,DuPont,DOW,Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[102]
9/1/2017,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[102]
8/29/2017,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon acquired Whole Foods Market.[102]
8/8/2017,BHF,Brighthouse Financial,AN,AutoNation,"BHF replaced AN,[103] MET spun off BHF[103]"
7/26/2017,DRE,Duke Realty Corp,RIG,Transocean,Market capitalization change.[104]
7/26/2017,AOS,A. O. Smith,BBBY,Bed Bath & Beyond,Market capitalization change.[104]
7/26/2017,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization change.[104]
7/26/2017,RMD,ResMed,MNK,Mallinckrodt,Market capitalization change.[104]
7/26/2017,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[104]
7/7/2017,BKR,Baker Hughes,BHI,Baker Hughes,Baker Hughes merged with GE Oil & Gas to form new company.[105]
6/19/2017,HLT,Hilton,YHOO,Yahoo!,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[106]
6/19/2017,ALGN,Align Technology,TDC,Teradata,Market capitalization changes.[106]
6/19/2017,ANSS,Ansys,R,Ryder System,Market capitalization changes.[106]
6/19/2017,RE,Everest Re,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition.[107]
6/2/2017,INFO,IHS Markit,TGNA,Tegna,TGNA spins off Cars.com[108]
4/5/2017,IT,Gartner,DNB,Dun & Bradstreet,IT acquiring CEB[109]
4/4/2017,DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett, merged with CSC to form DXC[110][111]"
3/20/2017,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization change.[112]
3/20/2017,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization change.[112]
3/20/2017,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization change.[112]
3/16/2017,SNPS,Synopsys,HAR,Harman International,Samsung Electronics acquired Harman International Industries.[113]
3/13/2017,DISH,Dish Network,LLTC,Linear Technology,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[114]
3/2/2017,REG,Regency Centers,ENDP,Endo International,REG acquires EQY[115]
3/1/2017,CBOE,Cboe Holdings,PBI,Pitney Bowes,CBOE acquires BATS[115]
2/28/2017,INCY,Incyte,SE,Spectra Energy,SE acquired by ENB[115]
1/5/2017,IDXX,Idexx Laboratories,STJ,St Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[116]
12/2/2016,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization change.[117]
12/2/2016,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization change.[117]
11/1/2016,ARNC,Arconic,AA,Alcoa,AA spins off ARNC
9/30/2016,COTY,Coty,DO,Diamond Offshore Drilling,COTY replaces DO[118]
9/22/2016,COO,The Cooper Companies,HOT,Starwood,MAR acquires HOT[119]
9/8/2016,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[120]
9/6/2016,MTD,Mettler Toledo,TYC,Tyco International,TYC acquires JCI (and retains JCI ticker).[121]
7/5/2016,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[122]
7/1/2016,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[123]
7/1/2016,ALB,Albemarle Corporation,TE,TECO Energy,TE acquired by EMA[122]
6/22/2016,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[124]
6/3/2016,TDG,TransDigm Group,BXLT,Baxalta,SHPG acquiring BXLT[125]
5/31/2016,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[126]
5/23/2016,LKQ,LKQ Corporation,ARG,Airgas,ARG acquired by Air Liquide[127]
5/18/2016,DLR,Digital Realty,TWC,Time Warner Cable,TWC acquired by CHTR[128]
5/13/2016,ALK,Alaska Air Group,SNDK,SanDisk,SNDK acquired by WDC[129]
5/3/2016,AYI,Acuity Brands,ADT,ADT,ADT acquired by APO[130]
4/25/2016,GPN,Global Payments,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[131]
4/18/2016,ULTA,Ulta Beauty,THC,Tenet Healthcare,Ulta replaces Tenet[132]
4/8/2016,UA,Under Armour (Class C),,,Under Armour distribution of second class of stock
4/4/2016,FL,Foot Locker,CAM,Cameron International,Schlumberger acquired Cameron[133]
3/30/2016,HOLX,Hologic,POM,Pepco Holdings,Exelon acquired Pepco.[134]
3/30/2016,CNC,Centene Corporation,ESV,Ensco,Centene acquired Health Net.[134]
3/7/2016,UDR,UDR,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[135]
3/4/2016,AWK,American Water Works,CNX,Consol Energy,AWK replaces CNX[136]
2/22/2016,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[137]
2/1/2016,CFG,Citizens,PCP,Precision Castparts Corporation,CFG replaces PCP[138]
2/1/2016,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[139]
1/19/2016,EXR,Extra Space Storage,ACE,Chubb,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[140]"
1/5/2016,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[141]
12/29/2015,CHD,Church & Dwight,ALTR,Altera,ALTR taken over by INTC[142]
12/15/2015,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed[143]
12/1/2015,CSRA,CSRA,CSC,Computer Sciences Corporation,CSC spins off CSRA[144]
11/19/2015,ILMN,Illumina,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[145]
11/18/2015,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[146]
11/2/2015,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp,HPQ spins off HPE[147]
10/7/2015,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[148]
9/18/2015,CMCSK,Comcast Class K Special,,,Share class methodology change[149]
9/18/2015,FOX,Twenty-First Century Fox Class B,,,Share class methodology change
9/18/2015,NWS,News Corporation Class B,,,Share class methodology change
9/2/2015,UAL,United Continental Holdings,HSP,Hospira,Hospira taken over[150]
8/28/2015,ATVI,Activision Blizzard,PLL,Pall Corporation,Pall taken over[150]
7/29/2015,SIG,Signet Jewelers,DTV,DirecTV,DirecTV acquired by AT&T.[151]
7/20/2015,PYPL,PayPal,NE,Noble Corporation,PayPal Spun off by eBay[152]
7/8/2015,AAP,Advance Auto Parts,FDO,Family Dollar,Family Dollar acquired.[153]
7/6/2015,KHC,Kraft Heinz,KRFT,Kraft Foods,Kraft merger with Heinz.[154]
7/2/2015,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[155]
7/1/2015,JBHT,J.B. Hunt,TEG,Integrys Energy Group,Integrys taken over.[156]
7/1/2015,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[157]
6/11/2015,QRVO,Qorvo,LO,Lorillard Tobacco Company,Lorillard gets acquired.[158]
4/7/2015,O,Realty Income Corporation,WIN,Windstream Communications,Market capitalization change.[159]
3/23/2015,AAL,American Airlines Group,AGN,Allergan,Allergan acquired by Actavis (and changed name to Allergan).[160]
3/23/2015,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[161]
3/23/2015,SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes.
3/23/2015,HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes.
3/18/2015,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[162]
3/12/2015,SWKS,Skyworks,PETM,PetSmart,PetSmart acquired by private equity consortium[163]
1/27/2015,HCA,HCA Holdings,SWY,Safeway,Safeway acquired by private equity consortium[164]
1/27/2015,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[165]
12/5/2014,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[166]
11/5/2014,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[167]
9/20/2014,URI,United Rentals,BTU,Peabody Energy,Market cap changes[168]
9/20/2014,UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes
8/18/2014,MNK,Mallinckrodt,RDC,Rowan Companies,Market cap changes[169]
8/6/2014,DISCK,Discovery Communications,,,Class C share distribution[170]
7/2/2014,MLM,Martin Marietta,X,United States Steel,Market capitalization changes[171]
7/1/2014,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[172]
6/20/2014,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[173]
5/8/2014,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[174]
5/1/2014,UA,Under Armour,BEAM,Suntory Global Spirits,Beam acquired by Suntory[175]
5/1/2014,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[175]
4/3/2014,GOOGL,Google,,,Google Class C share distribution[176]
4/2/2014,ESS,Essex Property Trust,CLF,Cliffs Natural Resources,Market capitalization changes[177]
3/21/2014,GMCR,Keurig Green Mountain,WPX,WPX Energy,Market capitalization changes[178]
1/24/2014,TSCO,Tractor Supply,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[179]
12/23/2013,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.[180]
12/23/2013,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes.[180]
12/23/2013,FB,Facebook,TER,Teradyne,Market capitalization changes.[180]
12/10/2013,GGP,General Growth Properties,MOLX,Molex,MOLX acquired by Koch Industries.[181]
12/2/2013,ALLE,Allegion,JCP,JCPenney,Allegion spun off by Ingersoll Rand.[182]
11/13/2013,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.[183]
10/29/2013,RIG,Transocean,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.[184]
9/20/2013,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization change.[185]
9/20/2013,AME,Ametek,SAI,SAIC,Market capitalization change.[185]
9/10/2013,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[186]
7/8/2013,NLSN,Nielsen Holdings,S,Sprint Nextel,Softbank consortium purchase results in public float below 50%[187]
7/1/2013,NWSA,21st Century Fox,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap[188]
6/21/2013,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[189]
6/6/2013,GM,General Motors,HNZ,Heinz,HNZ acquired by consortium[190]
5/23/2013,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[191]
5/8/2013,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[192]
4/30/2013,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[193]
2/15/2013,PVH,PVH,BIG,Big Lots,Market capitalization changes[194]
1/2/2013,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[195]
12/21/2012,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[196]
12/11/2012,GRMN,Garmin,RRD,RR Donnelley,Market capitalization changes[197]
12/3/2012,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[198]
10/10/2012,PETM,PetSmart,SUN,Sunoco,Acquired by Energy Transfer Partners (ETP)[199]
10/2/2012,KRFT,Kraft Foods,ANR,Alpha Natural Resources,Kraft split into two companies[200]
10/2/2012,MDLZ,Mondelez,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez[201]
10/1/2012,ADT,ADT,LXK,Lexmark,Tyco spun off ADT
10/1/2012,PNR,Pentair,DV,DeVry,Tyco spin-off merged w/Pentair
9/5/2012,LYB,LyondellBasell,SHLD,Sears Holdings,SHLD below public float threshold
7/31/2012,ESV,Ensco,GR,Goodrich Corporation,Goodrich acquired by United Technologies (UTX).[202]
7/2/2012,STX,Seagate Technology,PGN,Progress Energy,Acquired by Duke Energy (DUK)[203]
6/29/2012,MNST,Monster Beverage,SLE,Sara Lee Corporation,Split up of Sara Lee[204]
6/5/2012,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[205]
5/21/2012,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[206]
5/17/2012,KMI,Kinder Morgan,EP,El Paso Corporation,Acquired by Kinder Morgan (KMI)[207]
4/23/2012,PSX,Phillips 66,SVU,Supervalu,ConocoPhillips spun off Phillips 66[208]
4/3/2012,FOSL,Fossil,MHS,Medco Health Solutions,Acquired by Express Scripts (ESRX)[209]
3/13/2012,CCI,Crown Castle,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[210]
12/31/2011,WPX,WPX Energy,CPWR,Compuware,Market capitalization changes[211]
12/20/2011,TRIP,TripAdvisor,TLAB,Tellabs,Expedia spun off TripAdvisor.[212]
12/16/2011,BWA,BorgWarner,AKS,AK Steel,Market capitalization changes[213]
12/16/2011,PRGO,Perrigo,MWW,Monster Worldwide,Market capitalization changes
